gene_name,0x58_rep2_state1,0x58_rep3_state1,0x58_rep2_state2,0x58_rep3_state2,0x58_rep2_state3,0x58_rep3_state3,0x58_rep2_state4,0x58_rep3_state4,0x58_rep2_state5,0x58_rep3_state5,0x58_rep2_state6,0x58_rep3_state6,0x58_rep2_state7,0x58_rep3_state7,0x58_rep2_state8,0x58_rep3_state8,0x58modified_state3,Control_rep1,Control_rep2
ygeI_locusTag_ECDH10B_3025,1,1,0,2,6,1,0,5,8,1,4,2,1,2,8,0,0,0,2
ygeK_locusTag_ECDH10B_3028,6,7,3,5,1,2,1,8,4,4,5,2,2,3,3,9,0,2,4
ygeL_locusTag_ECDH10B_3029,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ygeM_locusTag_ECDH10B_3030,4,11,4,5,5,1,5,9,8,4,6,3,1,7,8,2,1,0,8
ygeO_locusTag_ECDH10B_3033,11,22,2,8,7,0,0,10,13,1,4,4,7,4,6,6,13,4,20
ygeQ_locusTag_ECDH10B_3038,105,203,67,78,76,55,40,116,168,90,108,55,52,47,121,47,14,64,176
ygeR_locusTag_ECDH10B_3040,90,380,64,253,170,267,79,743,279,270,249,230,127,212,384,282,12,154,625
ygeV_locusTag_ECDH10B_3044,88,883,87,434,142,360,94,856,182,227,180,230,66,153,310,251,3,324,1031
ygeW_locusTag_ECDH10B_3045,3,12,4,8,2,1,2,13,10,3,5,2,2,2,4,7,1,9,4
ygeX_locusTag_ECDH10B_3046,4,16,2,10,5,3,4,17,5,7,6,3,3,6,13,6,3,1,10
ygeY_locusTag_ECDH10B_3047,3,29,6,17,26,11,7,41,32,16,23,19,11,17,28,24,25,7,43
ygfA_locusTag_ECDH10B_3086,85,358,48,121,152,231,49,314,255,280,183,156,109,169,369,229,48,140,436
ygfB_locusTag_ECDH10B_3083,283,1632,251,957,612,648,288,1868,833,826,671,574,451,610,900,847,6,550,1642
ygfF_locusTag_ECDH10B_3076,70,143,49,71,74,51,50,130,51,32,38,21,24,15,57,28,3,121,130
ygfG_locusTag_ECDH10B_3094,8,36,7,17,23,13,6,29,32,5,22,6,9,10,25,14,6,7,27
ygfI_locusTag_ECDH10B_3096,12,65,13,34,30,37,12,96,35,24,37,24,24,31,69,34,2,9,64
ygfJ_locusTag_ECDH10B_3052,9,179,14,75,25,50,14,179,39,48,37,28,10,37,68,51,1,51,376
ygfK_locusTag_ECDH10B_3053,7,70,4,26,16,20,8,42,23,23,20,17,13,7,17,12,0,15,71
ygfM_locusTag_ECDH10B_3055,1,15,8,6,6,6,1,13,10,8,10,4,5,6,12,5,0,5,7
ygfO_locusTag_ECDH10B_3057,5,9,6,3,4,5,0,17,13,6,4,6,7,2,9,3,3,9,9
ygfQ_locusTag_ECDH10B_3059,18,86,13,41,25,33,13,73,45,52,43,34,10,35,68,18,3,24,88
ygfT_locusTag_ECDH10B_3061,8,35,6,27,19,27,2,46,37,24,14,17,12,14,31,16,0,19,43
ygfU_locusTag_ECDH10B_3062,1,12,1,7,0,2,1,9,2,3,5,1,1,2,4,2,8,1,6
ygfX_locusTag_ECDH10B_3070,186,737,163,347,134,142,76,432,170,128,97,109,62,55,131,82,9,286,792
ygfY_locusTag_ECDH10B_3071,67,246,43,132,52,63,29,204,40,63,43,56,9,43,37,34,101,92,316
ygfZ_locusTag_ECDH10B_3072,739,3958,529,2054,1406,1932,736,5561,1619,1807,1362,1350,804,1168,2071,1583,7,1174,3919
yggD_locusTag_ECDH10B_3104,15,85,21,38,32,52,19,108,76,60,57,37,24,27,67,50,30,28,88
yggE_locusTag_ECDH10B_3097,220,1181,221,754,422,643,226,1424,656,740,661,664,316,593,982,744,0,347,1405
yggF_locusTag_ECDH10B_3105,3,15,3,3,4,2,2,16,9,5,7,1,5,4,11,6,37,0,7
yggG_locusTag_ECDH10B_3111,207,1008,202,581,407,668,247,2003,768,943,616,764,378,769,1119,1115,25,392,1456
yggJ_locusTag_ECDH10B_3121,156,568,129,345,317,279,143,706,474,239,371,203,187,217,498,241,30,190,457
yggL_locusTag_ECDH10B_3134,334,1519,247,835,505,700,263,1646,570,564,561,524,266,738,754,488,2,441,1385
yggM_locusTag_ECDH10B_3131,9,41,5,24,13,6,1,26,21,16,19,15,5,12,25,12,62,12,63
yggN_locusTag_ECDH10B_3133,298,867,246,429,525,364,301,931,1009,355,995,261,556,316,1258,370,1,296,704
yggP_locusTag_ECDH10B_3106,6,18,12,11,28,10,6,20,34,19,19,18,9,13,29,17,1,11,20
