"","gene_id","locus_tag","norm_count","raw_count","K12_DH10B_GSE98890"
"680","fabB","ECDH10B_2485",1655.24533670657,7684,1
"681","fabD","ECDH10B_1164",552.049117494241,2531,1
"682","fabF","ECDH10B_1167",1797.61581402049,8181.5,1
"683","fabG","ECDH10B_1165",1291.18673219798,5577.5,1
"684","fabH","ECDH10B_1163",295.138016540084,1243,1
"685","fabI","ECDH10B_1405",1574.89692190307,7249.5,1
"686","fabR","ECDH10B_4152",196.156708786588,949,1
"687","fabZ","ECDH10B_0160",222.036345447054,889,1
"688","fadA","ECDH10B_4034",36.6802803986779,153,1
"689","fadB","ECDH10B_4035",48.2308150710801,186,1
"690","fadD","ECDH10B_1943",76.0823941624805,293.5,1
"691","fadE","ECDH10B_0203",51.2342181303275,238.5,1
"692","fadH","ECDH10B_3256",22.4233505450403,112,1
"693","fadI","ECDH10B_2505",38.6232216299366,182.5,1
"694","fadJ","ECDH10B_2504",87.6199045862957,391.5,1
"695","fadL","ECDH10B_2507",372.775747058948,1804,1
"696","fadR","ECDH10B_1240",217.075483568688,936,1
"697","fbaA","ECDH10B_3100",8560.79696064444,45299.5,1
"698","fbaB","ECDH10B_2250",54.9434205929852,274.5,1
"699","fbp","ECDH10B_4427",249.06697298028,1361.5,1
"700","fbpC","ECDH10B_0248",7.67468977992426,37,1
"701","fcl","ECDH10B_2202",0.96189334360417,6,1
"702","fdhD","ECDH10B_4085",47.4007805149414,200.5,1
"703","fdhE","ECDH10B_4081",226.746861851861,1017,1
"704","fdhF","ECDH10B_4270",78.9561614551497,427.5,1
"705","fdnG","ECDH10B_1605",45.1450113929513,262,1
"706","fdnH","ECDH10B_1606",4.24334065122811,28,1
"707","fdnI","ECDH10B_1607",4.34581641018863,25.5,1
"708","fdoG","ECDH10B_4084",1503.93367873242,6684.5,1
"709","fdoH","ECDH10B_4083",183.364395330147,723.5,1
"710","fdoI","ECDH10B_4082",58.5427145763603,237,1
"711","fdrA","ECDH10B_0474",0.746713341228582,5.5,1
"712","fdx","ECDH10B_2692",33.3155118761438,151,1
"713","feaB","ECDH10B_1510",14.0352377269685,73,1
"714","feaR","ECDH10B_1509",5.6714891523819,25.5,1
"715","fecA","ECDH10B_4489",58.8808273066055,246,1
"716","fecB","ECDH10B_4488",23.9437463207001,101.5,1
"717","fecC","ECDH10B_4487",7.85788190407751,27.5,1
"718","fecD","ECDH10B_4486",5.02594914525513,24,1
"719","fecE","ECDH10B_4485",9.20401161517987,38.5,1
"720","fecI","ECDH10B_4491",24.8967136047084,95.5,1
"721","fecR","ECDH10B_4490",27.8720360603095,118.5,1
"722","feoA","ECDH10B_3583",47.8616350586412,275.5,1
"723","feoB","ECDH10B_3584",706.570623384833,3514,1
"724","fepA","ECDH10B_0543",0,0,1
"725","fepA","ECDH10B_0651",0,0,1
"726","fepB","ECDH10B_0552",0,0,1
"727","fepB","ECDH10B_0660",0,0,1
"728","fepC","ECDH10B_0548",0,0,1
"729","fepC","ECDH10B_0656",0,0,1
"730","fepD","ECDH10B_0550",0,0,1
"731","fepD","ECDH10B_0658",0,0,1
"732","fepE","ECDH10B_0547",0,0,1
"733","fepE","ECDH10B_0655",0,0,1
"734","fepG","ECDH10B_0549",0,0,1
"735","fepG","ECDH10B_0657",0,0,1
"736","fes","ECDH10B_0544",0,0,1
"737","fes","ECDH10B_0652",0,0,1
"738","ffh","ECDH10B_2777",987.884136158549,4480.5,1
"739","ffs","ECDH10B_0411",1.02977637462495,6.5,1
"740","fhlA","ECDH10B_2899",37.1361161573579,196.5,1
"741","fhuA","ECDH10B_0130",651.469554373716,2499.5,1
"742","fhuB","ECDH10B_0133",20.6494656789042,87,1
"743","fhuC","ECDH10B_0131",12.1678031614677,62.5,1
"744","fhuD","ECDH10B_0132",4.84536187081929,20.5,1
"745","fhuE","ECDH10B_1174",36.294741606321,154.5,1
"746","fhuF","ECDH10B_4523",356.683786322908,1251.5,1
"747","fic","ECDH10B_3537",17.0362268509135,81,1
"748","fieF","ECDH10B_4104",198.801733061096,924,1
"749","fimZ","ECDH10B_0491",1.53955031971015,7,1
"750","fis","ECDH10B_3436",101.779568380408,409,1
"751","fiu","ECDH10B_0873",158.99680112899,588.5,1
"752","fixA","ECDH10B_0042",1.46013637937612,7.5,1
"753","fixB","ECDH10B_0043",1.24495637700054,7,1
"754","fixC","ECDH10B_0044",2.32085638887847,9.5,1
"755","fixX","ECDH10B_0045",0,0,1
"756","fklB","ECDH10B_4402",356.079508106383,1553,1
"757","fkpA","ECDH10B_3522",734.022180072062,3356,1
"758","fkpB","ECDH10B_0029",93.4732834379722,414,1
"759","fldA","ECDH10B_0749",365.898183360911,1634,1
"760","fldB","ECDH10B_3069",197.299189404628,958.5,1
"761","flgA","ECDH10B_1143",2.09414547718964,10,1
"762","flgB","ECDH10B_1144",0.418829095437928,2,1
"763","flgC","ECDH10B_1145",0.203649093062341,1.5,1
"764","flgD","ECDH10B_1146",0.475181217145462,3.5,1
"765","flgE","ECDH10B_1147",2.72815457500315,12.5,1
"766","flgF","ECDH10B_1148",1.53955031971015,7,1
"767","flgG","ECDH10B_1149",1.8904963841273,8.5,1
"768","flgH","ECDH10B_1150",0.849189100189102,3,1
"769","flgI","ECDH10B_1151",1.34743213596106,4.5,1
"770","flgJ","ECDH10B_1152",0.905541221896636,4.5,1
"771","flgK","ECDH10B_1153",4.69676247460578,27,1
"772","flgL","ECDH10B_1154",5.19500551037774,28.5,1
"773","flgM","ECDH10B_1142",8.83000373213623,39,1
"774","flgN","ECDH10B_1141",3.39545397589771,18.5,1
"775","flhA","ECDH10B_2020",5.9878424888593,30,1
"776","flhB","ECDH10B_2021",0.826127281562609,5,1
"777","flhD","ECDH10B_2033",196.574426371582,900,1
"778","flhE","ECDH10B_2019",0.622478188500269,3.5,1
"779","fliA","ECDH10B_2063",0.645540007126762,1.5,1
"780","fliD","ECDH10B_2065",2.78450669671069,14,1
"781","fliE","ECDH10B_2079",0.0678830310207802,0.5,1
"782","fliF","ECDH10B_2080",0.203649093062341,1.5,1
"783","fliG","ECDH10B_2081",1.56261213833664,5,1
