trpC,trpF,b1262,JW1254,,,,,,,,
tyrR,b1323,JW1316,,,,,,,,,
tyrA,b2600,JW2581,,,,,,,,,
trpS,b3384,JW3347,,,,,,,,,
talB,yaaK,b0008,JW0007,,,,,,,,
trpB,b1261,JW1253,,,,,,,,,
torA,b0997,JW0982,,,,,,,,,
torT,yccH,b0994,JW0979,,,,,,,,
tsgA,gutS,yhfC,yhfH,b3364,JW3327,,,,,,
ubiA,cyr,b4040,JW4000,,,,,,,,
tusB,yheL,b3343,JW3305,,,,,,,,
uidR,gusR,b1618,JW1610,,,,,,,,
ubiG,pufX,yfaB,b2232,JW2226,,,,,,,
uhpC,b3667,JW3642,,,,,,,,,
ugpA,b3452,JW3417,,,,,,,,,
xylH,b3568,JW3540,,,,,,,,,
wbbL,b4571,JW2016,b2031,,,,,,,,
xapR,pndR,yfeB,b2405,JW2396,,,,,,,
yegP,b2080,JW5339,,,,,,,,,
yaaA,b0006,JW0005,,,,,,,,,
ydgK,b1626,JW1618,,,,,,,,,
ydeT,b1505,JW1499,,,,,,,,,
ydfI,b1542,JW1535,,,,,,,,,
yehE,b2112,JW2099,,,,,,,,,
ydhJ,b1644,JW1636,,,,,,,,,
ydhC,b1660,JW1652,,,,,,,,,
yabP,b4659,JW0055,b0056,,,,,,,,
yegR,b2085,JW5837,,,,,,,,,
ydhV,b1673,JW5272,,,,,,,,,
yacC,b0122,JW0118,,,,,,,,,
yeiE,b2157,JW2144,,,,,,,,,
ybeF,b0629,JW0624,,,,,,,,,
ybaV,b0442,JW0432,,,,,,,,,
ybaY,b0453,JW0443,,,,,,,,,
ybaE,b0445,JW0435,,,,,,,,,
ypeB,b4546,JW5877,,,,,,,,,
yhaM,yhaN,b4470,JW5518,,,,,,,,
yjaA,b4011,JW3971,,,,,,,,,
yjbD,b4023,JW3983,,,,,,,,,
ygfT,b2887,JW5469,,,,,,,,,
ygjQ,b3086,JW3057,,,,,,,,,
ygeW,b2870,JW5463,,,,,,,,,
ygeG,b2851,JW2819,,,,,,,,,
yghQ,b2983,JW5490,,,,,,,,,
yiaV,b3586,JW3558,,,,,,,,,
ynbD,b1411,JW1408,,,,,,,,,
ytjA,b4568,JW5891,,,,,,,,,
yhiD,yhhE,b3508,JW5670,,,,,,,,
yraK,b3145,JW3114,,,,,,,,,
ytfA,b4205,JW4163,,,,,,,,,
ubiV,yhbV,b3159,JW5530,,,,,,,,
ugpC,b3450,JW3415,,,,,,,,,
wbbJ,yefH,b2033,JW2018,,,,,,,,
xanP,yicE,b3654,JW3629,,,,,,,,
xapA,pndA,b2407,JW2398,,,,,,,,
yafV,b0219,JW5019,,,,,,,,,
yagM,b0279,JW0273,,,,,,,,,
yagP,b4695,JW0276,,,,,,,,,
yafZ,b0252,JW0242,,,,,,,,,
yccS,b0960,JW5128,,,,,,,,,
yahG,b0321,JW0313,,,,,,,,,
yeaO,b1792,JW1781,,,,,,,,,
yaiI,b0387,JW0378,,,,,,,,,
yaiL,b0354,JW0345,,,,,,,,,
yaiX,yaiF,b4579,JW0350/JW5814,b0359,b0362,,,,,,
yecH,b1906,JW1894,,,,,,,,,
yeaQ,b1795,JW1784,,,,,,,,,
ycdY,b1035,JW1018,,,,,,,,,
ydiP,b1696,JW1686,,,,,,,,,
ydiK,b1688,JW1678,,,,,,,,,
ydjK,b1775,JW5290,,,,,,,,,
ydjZ,b1752,JW1741,,,,,,,,,
ydcV,b1443,JW1438,,,,,,,,,
ydcD,b1457,JW1452,,,,,,,,,
yejO,b2190,JW5839,,,,,,,,,
yeeW,b2006,JW1988,,,,,,,,,
ydfR,b1555,JW1547,,,,,,,,,
ydhB,b1659,JW1651,,,,,,,,,
ycgX,b1161,JW1148,,,,,,,,,
yabQ,b0057,b4659,JW0056,,,,,,,,
ybeH,b4581,JW0620,b0625,,,,,,,,
ydhW,b1672,JW1662,,,,,,,,,
ybeU,b0648,JW0643,,,,,,,,,
ygaZ,b2682,JW2657,,,,,,,,,
ymfL,b1147,JW1133,,,,,,,,,
yjbH,b4029,JW3989,,,,,,,,,
ygiB,b3037,JW5927,,,,,,,,,
ymfN,b1149,JW1135,,,,,,,,,
ygfS,b2886,JW5468,,,,,,,,,
yggM,b2956,JW2923,,,,,,,,,
yncD,b1451,JW1446,,,,,,,,,
yfeR,b2409,JW2400,,,,,,,,,
yodC,b1957,JW1940,,,,,,,,,
yiaN,b3578,JW5651,,,,,,,,,
yfbK,b2270,JW2265,,,,,,,,,
yibF,b3592,JW3565,,,,,,,,,
yhfL,b3369,JW3332,,,,,,,,,
yidX,b3696,JW5858,,,,,,,,,
yqeC,b2876,JW5464,,,,,,,,,
yiiF,b3890,JW5563,,,,,,,,,
yhhM,b3467,JW3432,,,,,,,,,
yfdQ,b2360,JW2357,,,,,,,,,
yobB,b1843,JW1832,,,,,,,,,
yfdL,b2355,JW5384,,,,,,,,,
yqiB,yzzH,b3033,JW3001,,,,,,,,
yqjH,b3070,JW3041,,,,,,,,,
yehB,b2109,JW2096,,,,,,,,,
yehD,b2111,JW2098,,,,,,,,,
hisD,b2020,JW2002,,,,,,,,,
hypD,b2729,JW2699,,,,,,,,,
holA,b0640,JW0635,,,,,,,,,
hybD,b2993,JW2961,,,,,,,,,
hmp,fsrB,hmpA,b2552,JW2536,,,,,,,
insE5,b2088,JW5341,,,,,,,,,
insH6,b1994,JW1972,,,,,,,,,
insE1,b0298,JW5036,,,,,,,,,
insA6,b3444,JW3408,,,,,,,,,
infC,fit,srjA,b1718,JW5829,,,,,,,
lpxT,yeiU,b2174,JW2162,,,,,,,,
lolB,hemM,ychC,b1209,JW1200,,,,,,,
livJ,b3460,JW3425,,,,,,,,,
marB,b1532,JW1525,,,,,,,,,
hyaA,b0972,JW0954,,,,,,,,,
msrP,yedY,b1971,JW1954,,,,,,,,
murC,b0091,JW0089,,,,,,,,,
napB,yejY,b2203,JW5367,,,,,,,,
pqiA,pqi5A,b0950,JW0933,,,,,,,,
pstC,phoW,b3727,JW3705,,,,,,,,
putP,b1015,JW1001,,,,,,,,,
queF,yqcD,b2794,JW2765,,,,,,,,
qseC,ygiY,b3026,JW2994,,,,,,,,
rluE,ymfC,b1135,JW1121,,,,,,,,
yciV,trpH,b1266,JW1258,,,,,,,,
mutL,b4170,JW4128,,,,,,,,,
yejK,b2186,JW2174,,,,,,,,,
nanC,yjhA,b4311,JW5778,,,,,,,,
nagD,b0675,JW0661,,,,,,,,,
pnp,b3164,JW5851,,,,,,,,,
ppiB,b0525,JW0514,,,,,,,,,
ppdD,b0108,JW0104,,,,,,,,,
potG,b0855,JW5818,,,,,,,,,
prmB,yfcB,b2330,JW5841,,,,,,,,
psuK,pscK,yeiC,b2166,JW2153,,,,,,,
psiF,b0384,JW5054,,,,,,,,,
fryB,ypdH,b2387,JW5389,,,,,,,,
rbsB,prlB,rbsP,b3751,JW3730,,,,,,,
recG,radC,b3652,JW3627,,,,,,,,
ratA,pasT,yfjG,b2619,JW2600,,,,,,,
rihC,yaaF,b0030,JW0028,,,,,,,,
rhsB,b3482,JW5679,,,,,,,,,
rpsH,b3306,JW3268,,,,,,,,,
ruvA,b1861,JW1850,,,,,,,,,
rutR,ycdC,b1013,JW0998,,,,,,,,
rutG,ycdG,b1006,JW5137,,,,,,,,
rsxG,rnfG,ydgP,b1631,JW1623,,,,,,,
yeiG,b2154,JW2141,,,,,,,,,
secE,prlG,b3981,JW3944,,,,,,,,
sdiA,b1916,JW1901,,,,,,,,,
sdhB,b0724,JW0714,,,,,,,,,
yihT,b3881,JW3852,,,,,,,,,
soxR,marC,b4063,JW4024,,,,,,,,
sseB,b2522,JW5404,,,,,,,,,
murD,b0088,JW0086,,,,,,,,,
ndk,b2518,JW2502,,,,,,,,,
narP,b2193,JW2181,,,,,,,,,
nohA,nohQ,b1548,JW1541,,,,,,,,
paaY,ydbZ,b1400,JW1395,,,,,,,,
rhmA,yfaU,b2245,JW2239,,,,,,,,
rihA,ybeK,b0651,JW0646,,,,,,,,
rhaS,rhaC2,b3905,JW3876,,,,,,,,
rplV,eryB,b3315,JW3277,,,,,,,,
rplW,b3318,JW3280,,,,,,,,,
rpmJ,b3299,JW3261,,,,,,,,,
rpmD,b3302,JW3264,,,,,,,,,
rpnB,yfcI,b2305,JW2302,,,,,,,,
mrdB,rodA,b0634,JW0629,,,,,,,,
rpsM,b3298,JW3260,,,,,,,,,
rsd,b3995,JW3959,,,,,,,,,
rseA,mclA,yfiJ,b2572,JW2556,,,,,,,
rspR,ydfH,b1540,JW1533,,,,,,,,
sgcE,yjhK,b4301,JW4263,,,,,,,,
scpA,sbm,yliK,b2917,JW2884,,,,,,,
scpB,mmcD,ygfG,b2919,JW2886,,,,,,,
slmA,ttk,yicB,b3641,JW5641,,,,,,,
pheS,b1714,JW5277,,,,,,,,,
napC,yejX,b2202,JW2190,,,,,,,,
narK,b1223,JW1214,,,,,,,,,
narH,b1225,JW1216,,,,,,,,,
nhaA,ant,b0019,JW0018,,,,,,,,
nikC,b3478,JW3443,,,,,,,,,
pdeH,yhjH,b3525,JW3493,,,,,,,,
pabC,b1096,JW1082,,,,,,,,,
php,yhfV,b3379,JW3342,,,,,,,,
pepD,pepH,b0237,JW0227,,,,,,,,
potI,b0857,JW0841,,,,,,,,,
pppA,yghH,b2972,JW2939,,,,,,,,
ppdA,b2826,JW2794,,,,,,,,,
malX,b1621,JW1613,,,,,,,,,
purL,purI,b2557,JW2541,,,,,,,,
chbA,celC,b1736,JW1725,,,,,,,,
pspB,b1305,JW1298,,,,,,,,,
pyrD,b0945,JW0928,,,,,,,,,
rclC,ykgB,b0301,JW5038,,,,,,,,
rcsA,b1951,JW1935,,,,,,,,,
rcsB,b2217,JW2205,,,,,,,,,
rhaR,rhaC1,b3906,JW3877,,,,,,,,
rhaA,b3903,JW5561,,,,,,,,,
rhlB,mmrA,b3780,JW3753,,,,,,,,
rluF,yjbC,b4022,JW3982,,,,,,,,
rnpA,b3704,JW3681,,,,,,,,,
rsmE,yggJ,b2946,JW2913,,,,,,,,
rusA,rus,ybcP,b0550,JW0538,,,,,,,
sapA,b1294,JW1287,,,,,,,,,
rsmI,yraL,b3146,JW3115,,,,,,,,
sbmC,gyrI,yeeB,b2009,JW1991,,,,,,,
sieB,b1353,JW5209,,,,,,,,,
mhpC,b0349,JW0340,,,,,,,,,
mnmG,gidA,trmF,b3741,JW3719,,,,,,,
mokC,gefL,b0018,JW5879,,,,,,,,
metJ,b3938,JW3909,,,,,,,,,
narX,narR,b1222,JW1213,,,,,,,,
nikA,b3476,JW3441,,,,,,,,,
nlpI,yhbM,b3163,JW3132,,,,,,,,
nikB,b3477,JW3442,,,,,,,,,
glnG,glnT,ntrC,b3868,JW3839,,,,,,,
pdeK,yhjK,b3529,JW5943,,,,,,,,
pdeB,ylaB,b0457,JW5062,,,,,,,,
phnD,psiD,b4105,JW4066,,,,,,,,
phnF,b4102,JW4063,,,,,,,,,
phnC,b4106,JW4067,,,,,,,,,
proB,b0242,JW0232,,,,,,,,,
psiE,yjbA,b4030,JW3990,,,,,,,,
qorA,hcz,qor,qor1,b4051,JW4011,,,,,,
radA,sms,b4389,JW4352,,,,,,,,
pyrE,b3642,JW3617,,,,,,,,,
recE,b1350,JW1344,,,,,,,,,
rhmR,yfaX,b2248,JW2242,,,,,,,,
rimP,yhbC,b3170,JW5533,,,,,,,,
rimJ,b1066,JW1053,,,,,,,,,
prfB,supK,b2891,JW5847,,,,,,,,
rfaI,waaI,b3627,JW3602,,,,,,,,
rhaB,b3904,JW3875,,,,,,,,,
rlmI,yccW,b0967,JW5898,,,,,,,,
rpoD,alt,b3067,JW3039,,,,,,,,
rsuA,yejD,b2183,JW2171,,,,,,,,
cvrA,nhaP2,ycgO,b1191,JW5184,,,,,,,
nlpE,cutF,b0192,JW0188,,,,,,,,
nemR,ydhM,b1649,JW5874,,,,,,,,
nudE,yrfE,b3397,JW3360,,,,,,,,
nuoM,b2277,JW2272,,,,,,,,,
yceF,b1087,JW5155,,,,,,,,,
paaC,ydbP,b1390,JW1385,,,,,,,,
pldB,b3825,JW5584,,,,,,,,,
ppnP,yaiE,b0391,JW0382,,,,,,,,
ppiD,ybaU,b0441,JW0431,,,,,,,,
pxpB,ybgJ,b0711,JW0701,,,,,,,,
purA,adeK,b4177,JW4135,,,,,,,,
recD,hopE,b2819,JW2787,,,,,,,,
rclB,ykgI,b0303,JW5039,,,,,,,,
rhsE,b1456,JW1451,,,,,,,,,
rfaG,pcsA,waaG,b3631,JW3606,,,,,,,
rpmF,b1089,JW1075,,,,,,,,,
rlmE,ftsJ,mrsF,rrmJ,b3179,JW3146,,,,,,
rutE,ycdI,b1008,JW0993,,,,,,,,
shiA,yeeM,b1981,JW1962,,,,,,,,
sgcR,yjhJ,b4300,JW4262,,,,,,,,
sdaC,dcrA,b2796,JW2767,,,,,,,,
yihV,b3883,JW5568,,,,,,,,,
sodA,b3908,JW3879,,,,,,,,,
nlpA,b3661,JW3635,,,,,,,,,
nikD,b3479,JW3444,,,,,,,,,
nudC,yjaD,b3996,JW5548,,,,,,,,
nsrR,yjeB,b4178,JW4136,,,,,,,,
oppF,b1247,JW1239,,,,,,,,,
panF,b3258,JW3226,,,,,,,,,
pgaC,ycdQ,b1022,JW1007,,,,,,,,
pqiC,ymbA,b0952,JW5127,,,,,,,,
proP,b4111,JW4072,,,,,,,,,
manY,pel,ptsP,b1818,JW1807,,,,,,,
purH,b4006,JW3970,,,,,,,,,
purM,purG,b2499,JW2484,,,,,,,,
relB,b1564,JW1556,,,,,,,,,
rcbA,ydaC,b1347,JW1341,,,,,,,,
rdgC,yaiD,b0393,JW0384,,,,,,,,
recT,b1349,JW1343,,,,,,,,,
rihB,yeiK,b2162,JW2149,,,,,,,,
rplR,b3304,JW3266,,,,,,,,,
rlmJ,yhiR,b3499,JW3466,,,,,,,,
rplL,b3986,JW3949,,,,,,,,,
rpiB,yjcA,b4090,JW4051,,,,,,,,
selB,fdhA,b3590,JW3563,,,,,,,,
sra,rpsV,b1480,JW5962,,,,,,,,
panD,b0131,JW0127,,,,,,,,,
pabA,b3360,JW3323,,,,,,,,,
paaD,ydbQ,b1391,JW5217,,,,,,,,
phnP,b4092,JW4053,,,,,,,,,
pqqL,yddC,b1494,JW1489,,,,,,,,
preT,yeiT,b2146,JW2133,,,,,,,,
pncA,nam,ydjB,b1768,JW1757,,,,,,,
tpr,b1229,JW1219,,,,,,,,,
psuG,pscG,yeiN,b2165,JW2152,,,,,,,
gatB,b2093,JW2077,,,,,,,,,
ptrA,ptr,b2821,JW2789,,,,,,,,
nagE,pstN,b0679,JW0665,,,,,,,,
srlA,gutA,sbl,b2702,JW5429,,,,,,,
quuD,ybcQ,b0551,JW0539,,,,,,,,
rimL,b1427,JW1423,,,,,,,,,
nrdF,ygaD,b2676,JW2651,,,,,,,,
rfaH,hlyT,sfrB,b3842,JW3818,,,,,,,
ribD,ribG,ybaE,b0414,JW0404,,,,,,,
rffG,b3788,JW5598,,,,,,,,,
rmuC,yigN,b3832,JW3809,,,,,,,,
rpnC,yadD,b0132,JW5010,,,,,,,,
yfaD,b2244,JW2238,,,,,,,,,
rpoH,fam,hin,htpR,b3461,JW3426,,,,,,
rpoE,sigE,b2573,JW2557,,,,,,,,
rseP,ecfE,yaeL,b0176,JW0171,,,,,,,
ruvC,b1863,JW1852,,,,,,,,,
satP,yaaH,b0010,JW0009,,,,,,,,
secB,b3609,JW3584,,,,,,,,,
sfmH,b0533,JW5071,,,,,,,,,
sgcX,yjhO,b4305,JW5776,,,,,,,,
mobB,yihC,b3856,JW5575,,,,,,,,
murF,mra,b0086,JW0084,,,,,,,,
murQ,yfeU,b2428,JW2421,,,,,,,,
otsB,b1897,JW1886,,,,,,,,,
pdeL,yahA,b0315,JW0307,,,,,,,,
pdhR,aceC,genA,yacB,b0113,JW0109,,,,,,
pdxA,b0052,JW0051,,,,,,,,,
paaK,b1398,JW5218,,,,,,,,,
phnI,b4099,JW4060,,,,,,,,,
parC,b3019,JW2987,,,,,,,,,
pheP,b0576,JW0565,,,,,,,,,
ycjU,pgmB,b1317,JW1310,,,,,,,,
plsB,b4041,JW4001,,,,,,,,,
yfiH,b2593,JW2575,,,,,,,,,
purT,b1849,JW1838,,,,,,,,,
ptsO,npr,rpoR,yhbK,b3206,JW3173,,,,,,
pspE,b1308,JW1301,,,,,,,,,
recB,ior,rorA,b2820,JW2788,,,,,,,
recX,oraA,b2698,JW2668,,,,,,,,
rimO,yliG,b0835,JW0819,,,,,,,,
rplN,b3310,JW3272,,,,,,,,,
rplX,b3309,JW3271,,,,,,,,,
ykgM,rpmE2,b0296,JW5035,,,,,,,,
rplD,eryA,b3319,JW3281,,,,,,,,
rplE,b3308,JW3270,,,,,,,,,
rluD,sfhB,yfiI,b2594,JW2576,,,,,,,
rpsD,ramA,b3296,JW3258,,,,,,,,
rsxE,rnfE,ydgQ,b1632,JW1624,,,,,,,
mntR,ybiQ,b0817,JW0801,,,,,,,,
mdoD,opgD,ydcG,yzzZ,b1424,JW1420,,,,,,
obgE,cgtA,obg,yhbZ,b3183,JW3150,,,,,,
pdxB,b2320,JW2317,,,,,,,,,
